uri	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	clusters
spotify:track:6UN73IYd0hZxLi8wFPMQij	0.954	0.516	6	-5.817	1	0.16	0.03	7.54e-06	0.0504	0.624	105.001	139560	0
spotify:track:1odkKVWMA79nrKBrjIkEHL	0.504	0.824	4	-6.105	1	0.037	0.0102	0.882	0.0862	0.199	127.974	285469	-1
spotify:track:7o1hVcPJT3V3mWaq4rnLHr	0.785	0.665	9	-9.936	1	0.0491	0.0035	0.675	0.104	0.156	125.012	249605	-1
spotify:track:0HuaQ836HU6X51AnU5YeHE	0.477	0.748	1	-5.809	0	0.0899	0.0945	0.0245	0.15	0.0397	130.026	306259	-1
spotify:track:5uSFGgIfHMT3osrAd9n9ym	0.669	0.742	1	-3.518	0	0.0441	0.296	0.0	0.355	0.716	101.982	203472	-1
spotify:track:4WcD7sb5B1PQHNkOCf650z	0.585	0.862	1	-5.379	0	0.0582	0.0251	0.0	0.117	0.485	128.048	176250	12
spotify:track:26b3oVLrRUaaybJulow9kz	0.573	0.422	10	-7.621	0	0.0678	0.551	1.31e-05	0.102	0.693	124.357	184791	12
spotify:track:1yPf7M5KyANEPisAFHfcA9	0.546	0.77	5	-8.565	0	0.0364	0.0122	0.927	0.14	0.0724	123.002	303735	-1
spotify:track:710dD4buiB6eYZUMeTV68A	0.818	0.848	9	-7.691	1	0.0683	0.000117	0.9	0.0412	0.607	126.017	475696	-1
spotify:track:2W23YPvyA41zDDLDwKmiHR	0.805	0.684	11	-10.219	0	0.0797	0.00289	0.932	0.0769	0.0824	124.99	441863	-1
spotify:track:4MXfcFYde3TX7g70HElez6	0.744	0.783	7	-7.626	1	0.0962	0.000788	0.562	0.118	0.503	121.981	238033	0
spotify:track:7sEO66pgSVqq6JMs0JRSqD	0.795	0.717	1	-9.644	1	0.0489	0.625	0.896	0.108	0.321	121.963	224403	-1
spotify:track:75Of4PQxJHJoJKzEl7acOo	0.568	0.848	1	-7.584	1	0.0405	0.0121	0.624	0.231	0.339	123.997	329093	2
spotify:track:6jbZFOnotAmUA0a8Ksq80Z	0.678	0.991	3	-4.121	1	0.058	0.0207	0.761	0.0941	0.421	124.968	149760	28
spotify:track:793daDgvzeh6Hj6Py3TH79	0.72	0.974	7	-5.416	1	0.132	0.000225	0.844	0.0851	0.21	128.008	378750	-1
spotify:track:6BE6DIBB5ib3KqoMQvEgDp	0.576	0.913	4	-4.94	0	0.0396	0.00089	0.92	0.0773	0.0379	133.984	235504	28
spotify:track:6Qh1XXgCVSXMJ8WfddPLAo	0.753	0.847	6	-8.92	1	0.0464	0.000644	0.94	0.112	0.0674	138.003	309565	-1
spotify:track:3P987Lr0eaOXOku6GJbGYY	0.732	0.927	1	-10.453	0	0.0582	3.12e-05	0.813	0.124	0.067	137.989	281361	28
spotify:track:6yX02S2Wtyvg6kL4AOV0PP	0.688	0.885	1	-8.519	1	0.0622	0.00104	0.58	0.15	0.265	137.993	306087	-1
spotify:track:33gMi0HT7Y3Bob7TqF6M6r	0.766	0.996	0	-5.779	0	0.0587	0.000908	0.877	0.0946	0.268	137.981	336000	-1
spotify:track:4W2Tbppz0acb37Pi6t5snj	0.674	0.942	1	-8.795	0	0.0629	0.000218	0.827	0.114	0.296	136.996	392409	28
spotify:track:6iT1U5TGYdZbtVkyLMHb7s	0.529	0.956	0	-6.333	1	0.0387	2.03e-05	0.795	0.213	0.099	147.999	333360	18
spotify:track:7n24EOW7ElKwtz5wXkzynQ	0.536	0.915	3	-7.767	0	0.298	0.131	0.624	0.0765	0.0626	154.986	294529	-1
spotify:track:1NY70HkJCodVp1Bsg1kywl	0.503	0.839	4	-5.973	0	0.0383	0.000465	0.747	0.0748	0.0491	127.983	312019	-1
spotify:track:01XG7WAJo7Zh4hAKIsXYPA	0.811	0.975	6	-3.732	1	0.0458	0.0502	0.814	0.124	0.791	128.021	128438	7
spotify:track:48ikc2AnoyLJgLnrkwWWgb	0.714	0.949	4	-5.63	0	0.0537	0.00032	0.918	0.0894	0.592	125.008	372439	-1
spotify:track:5XqX6XXhQz9f6HE6v6BwWk	0.807	0.692	4	-7.889	0	0.0469	0.00704	0.849	0.186	0.31	124.018	193669	-1
spotify:track:2D4CroWk9SFv3DQdfvKDhh	0.697	0.868	2	-6.977	0	0.092	0.0275	0.31	0.308	0.897	125.027	156480	0
spotify:track:747s1iXNCrZi3OeV7YDV9A	0.834	0.853	0	-6.102	1	0.118	0.0558	0.0725	0.0653	0.545	125.011	176282	12
