uri	artists	track_title	release_date	release_date_precision	genre	record_label
spotify:track:5zdAHfl0KBt7zJYrJGFrzk	Soulsearcher	Can't Get Enough [Henrik B Mix]	2009-02-16	day	House	Defected
spotify:track:0qJDy1QsmmnZt343XTzxQd	Soulsearcher	Can't Get Enough! (Vocal Club Mix)	1998	year	House	Defected
spotify:track:1U6PRIz8rXhsQdEUVBCgfX	Souxsoul	Remember Me (Club Mix)	2015-10-12	day	Deep House	Deeptown Music
spotify:track:5K7D1MksUwxvP5B256vfCJ	Space Motion	Run Again	2021-11-01	day	Melodic House & Techno	Space Motion Records
spotify:track:62vPOQ6fntBR0HCZXx60bE	Spada	Ibiza '89 (Extended Mix)	2021-07-23	day	Trance (Main Floor)	Black Hole Recordings
spotify:track:02crxEctxfT2l3q1DsM9m2	Spada, Eleonora	You Run	2022-08-12	day	Melodic House & Techno	Ultimo Paradiso
spotify:track:2Xg4bsCoRI7Ey7eIy6tmvV	Spektre	Back Into Consciousness (Original Mix)	2018-11-30	day	Techno (Peak Time / Driving)	Kraftek
spotify:track:0hu8jHiCsQgCRdwy17r6jQ	Spektre	Carnival of Souls	2018-06-29	day	Techno (Peak Time / Driving)	Respekt Recordings
spotify:track:56shAaXCI3eYnv1EbrJoob	Spektre	Gates of Dawn	2019-03-01	day	Techno (Peak Time / Driving)	Respekt Recordings
spotify:track:3Ag8oEgT6DOP3TORZEvQL2	Spektre	Planet Noir	2019-06-07	day	Techno (Peak Time / Driving)	Noir Music
spotify:track:4gA15lL0dDs5xoBXU9qOFB	Spektre	Retrograde (Original Mix)	2018-11-30	day	Techno (Peak Time / Driving)	Kraftek
spotify:track:5F84K2ltGbHKMYbmujjt8W	Spektre, Juliet Fox	Thinking About You ft Juliet Fox (Original Mix)	2019-04-12	day	Techno (Peak Time / Driving)	Kraftek
spotify:track:2onnnFhFnzIWEifETx8nW0	Spencer Brown	Windows 95 on Acid	2018-08-24	day	Techno (Peak Time / Driving)	mau5trap
spotify:track:2Je88vKFbtSEp6uzucHGnl	Spencer Brown, Ben Böhmer	Phases (Extended Mix)	2020-08-26	day	Melodic House & Techno	Anjunadeep
spotify:track:2OatP6ZwRxAzZ8MxCQNb1f	Spencer Brown, Ben Böhmer	SF to Berlin (Original Mix)	2020-03-18	day	Progressive House	Anjunabeats
spotify:track:4FYoE7zukBqjDGKIaf3AjD	Splize	Neon Affair	2022-01-19	day	Indie Dance	Sleazy Deep Originals
spotify:track:1QEQFPm2kcPppyLHvcrikl	Stan Kolev	Oblivion (Extended Mix)	2018-06-04	day	Progressive House	Freegrant Music
spotify:track:2QoQ0y1DOvMzmXJWyEOETV	Stan Kolev	Self Inquiry	2021-03-22	day	Progressive House	Outta Limits
spotify:track:303ccTay2FiDTZ9fZ2AdBt	Stardust, Benjamin Diamond, Alan Braxe, Thomas Bangalter	Music Sounds Better With You	1998-07-20	day	House	Because Music
spotify:track:70G0rxN6t88G7GvsyJYePg	Stavroz	The Finishing (Viken Arman Remix)	2015-09-28	day	Deep House	Delicieuse Records
spotify:track:2SCLswvRP8hAYdIKsrLV6h	Stavroz	The Finishing	2015-09-28	day	Deep House	Delicieuse Records
spotify:track:4DvPeMArYcKLyEufQH5eQ0	Steand, Andy Kulter	Capri (Extended Mix)	2021-02-19	day	Melodic House & Techno	Purified Records
spotify:track:6wIlFCtQHeC8UyljWYnMoI	Stephan Bodzin	Ataraxia	2021-10-08	day	Melodic House & Techno	Herzblut Recordings
spotify:track:2RpoQgqR5szBuezY0Jz5t8	Stephan Bodzin	Birth (Synthapella Version)	2015-12-18	day	Melodic House & Techno	Herzblut Recordings
spotify:track:4393xLc6sW9aHPCnyKxj78	Stephan Bodzin	Birth	2015-06-12	day	Melodic House & Techno	Herzblut Recordings
spotify:track:5XWtnEDX7CJC9yK6F7KeK6	Stephan Bodzin	Boavista	2021-08-20	day	Melodic House & Techno	Afterlife Records
spotify:track:5aQsFqrUKPWk2IWIDVT1Vs	Stephan Bodzin	Infinite Monkey	2021-10-08	day	Melodic House & Techno	Herzblut Recordings
spotify:track:2xlb1yXTcqa4rTn7Ju9qDT	Stephan Bodzin	Powers of Ten (Maceo Plex & Shall Ocin Remix)	2015-12-18	day	Melodic House & Techno	Herzblut Recordings
spotify:track:6H9k20YGV07FR1eUV2P4yy	Stephan Bodzin	Singularity (Fur Coat Remix)	2015-12-18	day	Melodic House & Techno	Herzblut Recordings
spotify:track:0yuJtvXsapVOQfNDYxQ5mw	Stephan Bodzin	Singularity	2015-06-12	day	Melodic House & Techno	Life And Death
spotify:track:7enI1KbQAwrMcu6Zf5FScf	Stephan Bodzin	Strand	2017-12-08	day	Melodic House & Techno	Afterlife Records
spotify:track:3Gy4XcnB4v8qepgddYEq2W	Stephan Bodzin	Zulu (Pan-Pot Remix)	2015-12-18	day	Melodic House & Techno	Herzblut Recordings
spotify:track:3QiMNLo2sErVVh6DLpI27v	Stephan Bodzin	Zulu (Synthapella Version)	2015-12-18	day	Melodic House & Techno	Herzblut Recordings
spotify:track:3MDEbfPekrI2EzxFTUzu5m	Stephan Bodzin	Zulu	2015-06-12	day	Melodic House & Techno	Herzblut Recordings
spotify:track:6TeH4qDxZaTtvACNYG2WMD	Stephan Bodzin, Fideles	River (Fideles Remix)	2022-02-25	day	Melodic House & Techno	Herzblut Recordings
spotify:track:4r46V8Liv7uUNelbBtW5Jw	Stephan Bodzin, Hernan Cattaneo, Soundexile	Astronautin (Hernan Cattaneo & Soundexile Remix)	2022-02-25	day	Melodic House & Techno	Herzblut Recordings
spotify:track:6CVJRF5iu0X9ZUnGqFXiuN	Stephan Bodzin, Luna Semara	Breathe	2021-10-08	day	Melodic House & Techno	Herzblut Recordings
spotify:track:5dxVa2HfMjJ6UNCPsXJOdD	Stephan Bodzin, Marc Romboy	Kerberos (Original Mix)	2014-09-22	day	Deep House	Systematic Recordings
spotify:track:5pdE0kDAl6OrYP4HcvNR2V	Stephan Bodzin, Marc Romboy	Kerberos (Synthappella)	2014-09-22	day	Deep House	Systematic Recordings
spotify:track:1cQCfrLGc5GpBC6bNPlsUm	Stephan Bodzin, Mind Against	Earth (Mind Against Remix)	2022-02-25	day	Melodic House & Techno	Herzblut Recordings
spotify:track:6VztmbKdEMOv2AtFGqHtXe	Stephan Jolk	Blossom	2022-05-27	day	Melodic House & Techno	UPPERGROUND
spotify:track:2OwaYJTaY6JQMqAy6LHYKt	Stephan Zovsky, Angelov	Jutta (Angelov Remix)	2021-07-09	day	Melodic House & Techno	3000 Grad Records
spotify:track:5zJ2abNW1YMEJTYqjs8lAH	Stereoclip	Sunset Drive (Extended Mix)	2020-09-04	day	Melodic House & Techno	Armada Electronic Elements
spotify:track:7zybSU9tFO9HNlwmGF7stc	Stereoclip	Sunset Drive	2021-11-26	day	Melodic House & Techno	Armada Electronic Elements
spotify:track:1I9rbaMUEFzqFKK1zB98Dg	Steve Angello, Laidback Luke, Robin S, Vintage Culture	Show Me Love (Vintage Culture Remix)	2021-02-19	day	Dance / Electro Pop	Mixmash Records
spotify:track:7lO4zJM5WIBChjlYyuIDNm	Steve Sai, Kobzev, T78	Relocation (T78 Remix)	2018-09-24	day	Hard Techno	Ragnarok
spotify:track:5RR5JvFcp59BmL2HbQW6ii	Stuart, Maxine, Armin van Buuren	Fuel To Fire (Armin van Buuren Vocal Mix)	2020-04-03	day	House	Adrian & Raz (AdrianRazRecordings)
spotify:track:6WnGITNOKFXawCwqnFuYbW	Stylo, Space Motion	Madan	2022-03-11	day	Afro House	Hurry Up Slowly
spotify:track:3BkFFqxBEP9kqKOfCJj0By	Stylo, Space Motion	The Last Siren	2020-03-27	day	Melodic House & Techno	Timeless Moment
spotify:track:6iNoB90jmeopvTSBCqz62O	Stylo, Space Motion, Morttagua	The Last Siren (Morttagua Remix)	2021-04-09	day	Progressive House	Timeless Moment
spotify:track:3MbCPBMZzFMPa1vMCIcgwS	Sub Focus	Off The Ground	2023-05-12	day	Drum & Bass	EMI
spotify:track:2A4Ij58MiGtsYOHBAJ8Wph	Sub Focus, Alice Gold	Out The Blue	2013-01-01	day	Drum & Bass	Virgin EMI
spotify:track:507UUx311ghfFTMSuHUeyS	Sub Focus, Dimension	Desire (Sub Focus & Dimension)	2018-09-14	day	Drum & Bass	EMI
spotify:track:1xjvIE3l0BACb24sF2TpPH	Sultan + Shepard	Assassin	2021-01-28	day	Melodic House & Techno	This Never Happened
spotify:track:5L8R2cyft2HfQ1IlfVAbcz	Sultan + Shepard	Salta	2021-03-12	day	Melodic House & Techno	This Never Happened
spotify:track:7Ib1fj8HnRmi9WRBpDK6ie	Sultan + Shepard	The Way	2019-11-08	day	Progressive House	Armada Music Albums
spotify:track:0SYcg3DsOg11avMngG92Kk	Sunnery James & Ryan Marciano, Leonie Meijer	Don't Stop It Now	2022-10-07	day	House	SONO Music
spotify:track:5JWPEeJvsairJtAzOmffYn	Sunnery James & Ryan Marciano, Thomas Newson	I'll House You (Extended Mix)	2018-02-23	day	Funky House	SONO Music
spotify:track:6iobU8oVZJIQF7Xgb60cdn	Sunnery James & Ryan Marciano, YAX.X, SABRI	PRAY (Extended Mix)	2020-04-03	day	House	SONO Music
spotify:track:09QQwmPHBBVhBD2wWrNJk2	Sunnery James & Ryan Marciano, YAX.X, SABRI	PRAY (VIP Mix)	2020-05-29	day	House	SONO Music
spotify:track:1BpG59DLyW6jZxN2PYiUA3	Super Flu	2daBeat	2017-05-26	day	Electronica	Monaberry
spotify:track:2mhRsvVVfukHWklTrRpnCB	Superlover	D.A.N.C.E.	2021-04-02	day	House	Big Top Amsterdam
spotify:track:6tGtFeIO3yYuVvNLAdHU0A	Supermode, 1991	Tell Me Why (1991 Remix)	2023-03-03	day	Drum & Bass	Axtone Records
spotify:track:1G3kwVs3JHqN5UPiFXcAID	Swedish House Mafia, Adriatique, The Weeknd	Moth To A Flame (feat. The Weeknd) (Adriatique Remix)	2022-08-12	day	Melodic House & Techno	Republic Records
spotify:track:4ptnQ0kQnN1U1Ig8TSslj6	Swedish House Mafia, Anyma, Future, Fred again..	Turn On The Lights again.. (feat. Future & Fred again..) (Anyma Remix)	2022-09-12	day	Melodic House & Techno	Atlantic Records UK
spotify:track:4jyibctx3OKuYuA77lOsow	Sylvester, Michael Gray	You Make Me Feel (Mighty Real) (Michael Gray Dub Mix)	2019-06-14	day	House	Sultra Records
spotify:track:7yBQK34HQlU7dofQlTVUjX	Sylvester, Michael Gray	You Make Me Feel (Mighty Real) (Michael Gray Remix)	2019-06-14	day	House	Sultra Records
spotify:track:0DBaG7EfNLcK7kCrwzQ6Uq	Syn Cole, Sammy Porter	Mind Blown (Sammy Porter Remix)	2020-04-03	day	Dance / Electro Pop	Positiva
spotify:track:2KPWhEPdf2JznU3lW96kvr	Sysdemes	The Lies You Tell	2019-06-14	day	Mainstage	mau5trap
spotify:track:39HhbIIckqf943ZvAQL8iC	Sébastien Léger	Ariana	2023-02-03	day	Organic House / Downtempo	Lost Miracle
spotify:track:7irDOF7IcDhfoQ14kFdpOu	Sébastien Léger	Pamparis	2022-02-25	day	Organic House / Downtempo	Lost Miracle
spotify:track:4TR6mBYhwSML6pxV0gF4Ts	Sébastien Léger	Regina Blue	2022-09-02	day	Organic House / Downtempo	All Day I Dream
spotify:track:4Obd7U0laIfX36ypVJ8E90	Sébastien Léger	Stevie	2021-02-12	day	Organic House / Downtempo	Lost Miracle
spotify:track:5eYyzXGdIKvWRbnMCrKiOj	T78	Beast Man	2017-05-15	day	Techno (Peak Time / Driving)	Autektone Records
spotify:track:1UC18UNumQ5jsjtLKmWaum	T78	Blade	2017-06-30	day	Techno (Peak Time / Driving)	Autektone Records
spotify:track:0ntwWswCIoTBMbusGjdKcQ	T78	Fisto (Edit Mix)	2018-03-26	day	Techno (Peak Time / Driving)	Autektone Records
spotify:track:7yyNaKHvH76G4tohz4cM7u	T78	Megator	2019-05-27	day	Techno (Peak Time / Driving)	Autektone Records
spotify:track:2u9p5gXVWWtZQkcQrSybGD	T78	Mosquitor	2017-02-27	day	Techno (Peak Time / Driving)	iTechno
spotify:track:3TZVSrbSuUhicP1eN9MSvZ	T78	Roboto	2020-12-21	day	Techno (Peak Time / Driving)	Autektone Records
spotify:track:2gDPrM2oWtYK4pNOrfWEJ1	T78	Tung Lashor	2017-06-19	day	Techno (Peak Time / Driving)	iTechno
spotify:track:2zQvCDoNh9hG0AFSCQzj1y	T78, AKKI (DE)	New World	2021-02-15	day	Techno (Peak Time / Driving)	Autektone Records
spotify:track:2jCmcEJZI0ryYcoDSojGRU	T78, Drumsauw	Acidsm (Radio Mix)	2019-02-25	day	Techno (Peak Time / Driving)	EXKLUSIVE
spotify:track:7zVlTbvChujeZKwjWNEAHF	T78, Greg Denbosa	Stonedar (T78 Remix)	2016-10-28	day	Techno (Peak Time / Driving)	Electrotunes
spotify:track:3sfW7qrHyG8LwiXgbnUX4o	T78, Josh Fener	King Hiss (Josh Fener Remix)	2017-06-19	day	Techno (Peak Time / Driving)	Autektone Records
spotify:track:78KDxwrTrJbRbGe7cOGip3	T78, Ketno	Syclone	2019-06-10	day	Techno (Peak Time / Driving)	Autektone Records
spotify:track:1wKvdhEdWatU04C5yM7trX	T78, ROBPM	Acid Lick	2018-12-24	day	Techno (Peak Time / Driving)	Autektone Records
spotify:track:6HUnAzGo1zYfdX4ZW1yiZh	Tale Of Us, Kiasmos	Notte senza fine (Kiasmos Remix)	2017-12-01	day	Electronica	Deutsche Grammophon (DG)
spotify:track:5noSkaAhiPUZZpKqgFWiLi	Tale Of Us, Mind Against	Astral	2015-10-05	day	Melodic House & Techno	Life And Death
spotify:track:3VwUw2BsgZ9D1U3uti1oRt	Tale Of Us, Vaal, Stephan Bodzin	Monument (Stephan Bodzin Remix)	2017-09-15	day	Melodic House & Techno	Afterlife Records
spotify:track:4tvWDh6yMLM8zxUHSdAMN4	Tatana, Matan Caspi	Resonance (Matan Caspi Remix)	2018-10-29	day	Progressive House	Freegrant Music
spotify:track:62OQBLpD3TmkqbtTPqqdRt	Tchami	Adieu	2017-02-03	day	Mainstage	Confession Records
spotify:track:7BcTpkTnqmp7aBhdTK5LHU	Tchami, HANA	Ghosts	2020-02-25	day	Mainstage	Confession Records
spotify:track:5fFEgmLAbNG75zKPn3hXOO	Tchami, Marshall Jefferson	Move Your Body (Future House)	2015-02-10	day	Mainstage	Ultra
spotify:track:6eQfDAxV36FTBACazlf5M6	Techno Alias	Sweet Dreams (Are Made of This)	2023-02-26	day	Techno (Peak Time / Driving)	NA
spotify:track:4YyTSL5nlHICPyX50Gc4aZ	Teho	Glacier 3000	2021-05-13	day	Melodic House & Techno	Cercle Records
spotify:track:7Blfodsp4cnfT8Z7YyUdM0	The Cube Guys	I Love It (Club Edit)	2019-11-22	day	Funky House	Cube Recordings
spotify:track:4WDr9nlsBF55DVcm7QD8Mw	The Cube Guys	Love Will Save the Day (Club Edit)	2020-12-04	day	Bass House	Cube Recordings
spotify:track:1MQs5yIOEF5ybHkBci5gzZ	The Cube Guys, Alex Gewer	Dance Dance Dance	2021-07-23	day	Funky House	Cube Recordings
spotify:track:5Th9gECB7ifxUAQy59urEo	The Cube Guys, David Penn, Etienne Ozborne	Ah Feel Like Ahcid (Etienne Ozborne Remix)	2019-11-11	day	House	Cube Recordings
spotify:track:6QvAUHL7aiAj6iLcXkBxI7	The Cube Guys, Folkness	Funky Beatz (Club Mix)	2021-07-16	day	Funky House	Cube Recordings
