uri	artists	track_title	release_date	release_date_precision	genre	record_label	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	clusters
spotify:track:3widiHpfdpLKuLqu7oMfaO	Airbase	Escape (Sunny Lax Remix)	2021	day	Trance (Main Floor)	Armind (Armada)	0.529	0.928	4	-5.493	0	0.0561	0.0101	0.255	0.328	0.0749	131.984	227273	4
spotify:track:5l8VA4LS2FUfqavQVgaaxO	AIROD	Raver's heart	2021	day	Techno (Peak Time / Driving)	Lenske	0.754	0.752	4	-10.233	0	0.0434	7.46e-05	0.862	0.0834	0.161	139.998	336267	40
spotify:track:00jeiElGSGej0YjhJYAzaw	AKA AKA	Narcotica	2018	day	Tech House	1st Strike Deep	0.821	0.58	9	-7.181	0	0.052	0.00394	0.857	0.0918	0.319	123.991	364334	31
spotify:track:1DMAvjc8lHD1rGKvTOh66L	Alaia & Gallo	Who Is He? (feat. Kevin Haden) (Extended Mix)	2021	day	House	Glitterbox Recordings	0.843	0.805	6	-6.923	0	0.0507	0.000965	0.388	0.0495	0.963	122.005	350857	-1
spotify:track:5jZdoOLctNYU8c9zDlCLzJ	Alaia & Gallo	Who Is He (feat. Kevin Haden) (Claptone Extended Remix)	2016	day	House	Glitterbox Recordings	0.849	0.931	8	-7.517	0	0.0482	0.000458	0.103	0.0477	0.839	121.005	335222	10
spotify:track:7oKKVO6iODYTFlibMX9oGC	Alaia & Gallo	Who Is He? (feat. Kevin Haden) (Dr Packer Extended Remix)	2021	day	Nu Disco / Disco	Glitterbox Recordings	0.833	0.875	4	-6.598	1	0.044	0.000554	0.356	0.0459	0.844	120.005	420531	-1
spotify:track:6DpL6pVHnCZ91EoPzkB0Zi	Alaia & Gallo	Call Your Name	2019	day	House	Armada Subjekt	0.77	0.764	7	-7.704	1	0.0429	0.00432	0.621	0.037	0.332	124.007	221990	-1
spotify:track:1LIj5vN7Q8id16vaNQ92G6	Alain Gertrand	Pause Soleil	2022	day	Funky House	Routine Espresso Recordings	0.793	0.903	1	-7.748	1	0.0536	0.0838	0.906	0.0957	0.626	125.005	362880	-1
spotify:track:0tFyBGnOezYA449BKb1hZn	Alan Fitzpatrick	The Approach	2019	day	Techno (Peak Time / Driving)	Suara	0.743	0.591	2	-10.059	1	0.0438	0.0017	0.866	0.11	0.0461	130.006	432092	13
spotify:track:5s36m0BvCeiP7rYEVejL7F	Alan Fitzpatrick	Kona	2019	day	Techno (Peak Time / Driving)	We Are The Brave	0.607	0.933	7	-6.817	1	0.047	0.00201	0.875	0.101	0.11	126.007	459939	-1
spotify:track:2cXo7Bly6wskckTQytxAOy	Alan Fitzpatrick	Haven't You Heard (Fitzy's Fully Charged Mix)	2020	day	House	FFRR	0.816	0.866	6	-6.282	0	0.0602	0.000766	0.848	0.0998	0.95	130.016	431077	7
spotify:track:0fZ19tHX4FSslZn8EeKCpo	Alex Kennon	Blinding Lights (Joris Voorn Remix)	2021	day	Melodic House & Techno	Spectrum (NL)	0.708	0.749	9	-7.003	1	0.0406	0.000143	0.877	0.0838	0.17	123.997	313748	-1
spotify:track:31QqKRikjh4mtLFPle9ub9	Alex Lur	Seda	2021	day	Melodic House & Techno	AFTR:HRS	0.568	0.912	5	-11.388	0	0.0393	0.514	0.914	0.0993	0.215	122.012	227161	22
spotify:track:4W55qYfxVD5iyfkDXgK6ue	Alex Metric	Upswing	2020	day	Melodic House & Techno	Anjunadeep	0.743	0.838	11	-6.143	1	0.0442	0.47	0.777	0.0608	0.704	121.007	352572	-1
spotify:track:1qGtpcoxzY6ouy2yOtwHcN	Alex Preston	Aja	2022	day	Afro House	Basement Sound	0.707	0.96	2	-5.411	1	0.0739	0.00726	0.45	0.101	0.707	125.018	207360	11
spotify:track:2QlevuOOERHLcKxkhXskAK	Alex Sonata & TheRio	Cala Luna	2022	day	Trance (Main Floor)	Anjunabeats	0.502	0.963	7	-6.001	0	0.0566	0.00284	0.858	0.762	0.0395	127.995	159000	2
spotify:track:4hl7Fu604rMlt4viCJmSN9	Alex Stein	Headrush	2020	day	Techno (Peak Time / Driving)	Terminal M	0.693	0.867	6	-10.746	0	0.0447	0.0215	0.876	0.119	0.299	130.0	353086	40
spotify:track:4DQTrCa02Vo34fDS0nHmSX	Alex Stein	Control Me	2022	day	Techno (Peak Time / Driving)	Terminal M	0.608	0.894	7	-7.429	1	0.0402	0.0158	0.903	0.831	0.442	131.997	281818	2
spotify:track:20f9byj2N9OlC3VbHprwKk	Alex Van Alff	Champion Sound (The Cube Guys Radio)	2021	day	House	Cube Recordings	0.73	0.966	9	-6.116	1	0.061	0.00274	0.0861	0.374	0.664	123.981	198145	4
spotify:track:4Wqt3AN9VdDLSasuomSYmI	Algrthm	On My Mind	2019	day	Nu Disco / Disco	Prison Entertainment	0.855	0.582	8	-5.428	1	0.0414	0.00875	0.026	0.0766	0.454	122.998	279476	14
spotify:track:7n9rePdJHPQ6QFgpjTPEj6	Alignment	Attack	2022	day	Hard Techno	KNTXT	0.639	0.975	3	-6.934	1	0.0732	0.000249	0.749	0.204	0.0302	144.011	363443	32
spotify:track:3ODEf1vww4qljvqidfcqIU	ALMA (GER)	Lost In The Stars (Original Mix)	2021	day	Melodic House & Techno	Definition:Music	0.714	0.572	9	-13.038	1	0.0413	0.017	0.926	0.109	0.0449	121.012	413045	31
spotify:track:72DJYvdItwcnDUzbViU1Kl	alt-J	Breezeblocks (Tinlicker Extended Mix)	2019	day	Progressive House	Anjunabeats	0.683	0.732	5	-7.222	1	0.0415	0.00193	0.366	0.0534	0.123	123.015	411172	4
spotify:track:2z1eTgub49WD8F7RWBO2Fg	Amazingblaze	Inner Fire	2022	day	Techno (Peak Time / Driving)	KNTXT	0.595	0.985	11	-5.44	0	0.0491	0.0116	0.933	0.0379	0.274	145.012	360781	41
spotify:track:4t1DXTyp454P6uY7FL29rg	Amelie Lens	Drift	2017	day	Techno (Peak Time / Driving)	Second State Audio	0.793	0.476	11	-15.635	0	0.0682	0.0673	0.941	0.104	0.0599	127.993	397500	31
spotify:track:5iOeyAeFbAIbASxoYoAswL	Amelie Lens	Energize	2018	day	Techno (Peak Time / Driving)	Lenske	0.757	0.889	1	-8.399	1	0.0686	0.0795	0.963	0.112	0.0933	131.015	355958	25
spotify:track:5UsfWcP6SThHlZ4oAgx7ge	Amelie Lens	Follow	2017	day	Techno (Peak Time / Driving)	Second State Audio	0.725	0.908	7	-8.798	1	0.0345	0.0375	0.822	0.108	0.134	128.006	337500	-1
spotify:track:0L0jY2Wszmkau1tKQv2AZJ	Amelie Lens	Hypnotized	2019	day	Techno (Peak Time / Driving)	Second State Audio	0.728	0.863	7	-8.398	1	0.0703	0.0112	0.841	0.113	0.66	132.015	339604	7
spotify:track:2vfSCFvMbpf4hwxt22Wx7b	Amelie Lens	In Silence	2017	day	Techno (Peak Time / Driving)	Drumcode	0.736	0.845	1	-12.017	1	0.0377	0.00548	0.901	0.111	0.198	128.009	393740	13
spotify:track:5e0cpLRbShZxK2w3LOR5Zb	Amelie Lens	Little Robot	2019	day	Techno (Peak Time / Driving)	Lenske	0.606	0.867	10	-8.57	0	0.0559	0.000156	0.834	0.0847	0.033	131.985	363880	-1
spotify:track:72uP5kgHIp7cwfnUNcFfPk	Amelie Lens	Resonance	2017	day	Techno (Peak Time / Driving)	Second State Audio	0.792	0.573	7	-12.719	1	0.0575	0.0448	0.939	0.11	0.0321	127.984	421525	31
spotify:track:1yQRAi2Wk8BniBuB27f1bf	Amelie Lens	Stay With Me	2017	day	Techno (Peak Time / Driving)	Second State Audio	0.686	0.78	1	-11.425	1	0.0413	0.122	0.869	0.107	0.206	128.012	375000	-1
spotify:track:2IM2utL5oxwpN3kli1CiA9	Amelie Lens	Storm	2019	day	Techno (Peak Time / Driving)	Lenske	0.731	0.872	1	-9.46	1	0.0692	0.0867	0.91	0.111	0.0368	130.992	429707	25
spotify:track:16AWPFcIfmbrYvl4hjOVHD	Amelie Lens	Purge	2017	day	Techno (Raw / Deep / Hypnotic)	Arts	0.744	0.593	11	-11.791	1	0.0466	0.16	0.888	0.0616	0.0694	125.996	433218	31
spotify:track:4E3A7qJWoSZWBGqTKw6iFC	Amonita	Milky Way	2021	day	Organic House / Downtempo	Peace Symphonies	0.741	0.885	4	-8.703	0	0.0423	0.043	0.891	0.055	0.134	122.006	472623	33
spotify:track:4K7597R5TJY28eIzoepPKo	AmyElle	Tom Tune	2022	day	Dance / Electro Pop	Another Rhythm Records	0.523	0.674	3	-10.349	0	0.0343	0.0121	0.936	0.0987	0.231	125.985	240240	28
spotify:track:7mJ8wKA9aexlL8ZLxqwPEO	Anabel Englund	London Headache (Purple Disco Machine Remix)	2016	day	Nu Disco / Disco	Nice Life/Atlantic	0.8	0.703	9	-8.153	0	0.0455	0.00354	0.372	0.0497	0.411	119.008	523029	14
spotify:track:4nDmJSokE9MZ81UjCcWSNI	Analog Sol	Trinidad Dreams (Extended Mix)	2018	day	Melodic House & Techno	Armada Subjekt	0.768	0.881	10	-8.086	0	0.0583	0.000507	0.86	0.623	0.138	120.998	397929	2
spotify:track:6KMdMe54uoAcCdffmvyiic	Anastacia	I'm Outta Love (Hex Hector Radio Edit)	1999	year	Electronica	DistroKid	0.692	0.917	10	-5.022	0	0.0775	0.215	3.49e-06	0.181	0.658	128.992	240227	-1
spotify:track:77vCn7iUHH8KAOqdOe1XjY	Anastacia	I'm Outta Love	2000	day	Dance / Electro Pop	Adue Music	0.759	0.712	10	-5.859	0	0.053	0.365	0.0	0.0989	0.652	119.439	242960	-1
spotify:track:43POhFEaOMcV8SOkgtLWne	ANDATA	Backroom	2022	day	Techno (Peak Time / Driving)	Senso Sounds	0.92	0.642	2	-11.023	1	0.152	0.00658	0.377	0.114	0.179	128.001	410781	13
spotify:track:2ySk8ecOEBzNckGLKA6TEZ	Anden	Escalus	2019	day	Trance (Main Floor)	Zerothree	0.691	0.714	0	-9.67	1	0.0345	0.0378	0.832	0.0937	0.277	125.981	255375	26
spotify:track:6pjHndin2nCDh5L57BJhUY	Anderholm	Addicted	2020	day	Melodic House & Techno	This Never Happened	0.522	0.734	7	-9.367	1	0.0325	0.00193	0.68	0.398	0.0721	121.983	260123	18
spotify:track:3j953XKbVdcHUhwPeUVXmT	Anderholm	Iceberg	2021	day	Melodic House & Techno	This Never Happened	0.613	0.584	5	-15.232	0	0.0375	0.532	0.945	0.11	0.0392	121.993	268142	22
spotify:track:6jHwozb4zx4hIPnqpkAk0H	Anderholm	Meridian	2020	day	Melodic House & Techno	This Never Happened	0.632	0.811	11	-11.253	1	0.0435	0.0114	0.893	0.151	0.0934	122.007	195743	16
spotify:track:7GG91wxtHKBS1Y2Yy0Qpxp	Anderholm	Mope	2019	day	Deep House	Armada Music Albums	0.326	0.637	8	-11.773	1	0.0414	0.0661	0.909	0.0822	0.127	122.005	347485	-1
spotify:track:7fhqnqIPiR0tvM0d3uj6tu	Anderholm	Muzik	2020	day	Melodic House & Techno	This Never Happened	0.636	0.794	5	-9.08	1	0.039	0.0615	0.906	0.116	0.298	121.999	442894	-1
spotify:track:3HqrQJO8bxiEq6GFgPWYwE	Anderholm	Sinus	2020	day	Melodic House & Techno	This Never Happened	0.62	0.667	6	-10.825	0	0.0425	0.421	0.948	0.0991	0.185	121.991	210733	22
spotify:track:0DAb8uXdSsQpuhfbOUWVOg	Andfølk	Aurora	2021	day	Melodic House & Techno	Caramel Records	0.729	0.679	7	-11.341	1	0.0401	0.0143	0.803	0.112	0.18	124.011	267097	-1
spotify:track:716aUQxrISYyDXJc5Bvh46	Andre Crom	Jaunde (Charlotte De Witte Remix)	2016	day	Techno (Peak Time / Driving)	DIKI Records Classics	0.799	0.628	2	-10.33	1	0.061	0.189	0.938	0.0968	0.0342	124.987	460912	-1
spotify:track:1aZWxYL6hdaUQoO5QDKprV	Andrea Laddo	Scandalous (Original Mix)	2020	day	Funky House	Cube Recordings	0.776	0.757	6	-3.479	0	0.0498	0.00128	0.0482	0.567	0.33	124.01	412742	2
spotify:track:0GhMImCJ8bJ1oKDZOhUedJ	Andrew Bayer	Midnight	2022	day	Trance (Main Floor)	Anjunabeats	0.598	0.541	7	-11.495	1	0.0437	0.157	0.146	0.126	0.0422	128.001	480000	-1
spotify:track:7aAv7FzsUEw7Zg3R7clpgT	Andrew Meller	Born Slippy (Reincarnation Mix)	2018	day	Techno (Peak Time / Driving)	Glasgow Underground	0.74	0.758	2	-8.559	1	0.0435	0.00274	0.513	0.101	0.0324	125.001	557280	-1
spotify:track:7EfeT6AP81defdjrBCQ3Ri	Andromedha	Safari (Extended Mix)	2019	day	Progressive House	Colorize (Enhanced)	0.619	0.803	1	-8.557	0	0.0583	0.00249	0.789	0.059	0.226	120.993	285952	26
spotify:track:1ORDYmBYllvoGjgWEDXPp5	Andy Moor	The Whiteroom (Marsh Remix)	2022	day	Melodic House & Techno	Anjunadeep	0.576	0.901	0	-6.612	0	0.0284	0.0218	0.882	0.435	0.229	124.99	213257	18
spotify:track:23zxA6Dq0A179KhwOn5Z9f	Angelo Ferreri	Dance with Me (C'mon) (Original Mix)	2020	day	House	Motive Records	0.808	0.927	11	-4.695	1	0.0383	7.32e-05	0.663	0.0404	0.737	123.004	334250	7
spotify:track:3PZ2NOlY7UBTEzwprgEXz1	Angelo Ferreri	Love Problems (Angelo's Hard to Be Human Extended Mix)	2022	day	Nu Disco / Disco	Deepalma Soul	0.79	0.9	6	-6.375	1	0.0624	0.0272	0.118	0.0707	0.159	114.999	354625	4
spotify:track:5zQC922ZzlEbt9RsANWXZH	Angelo Ferreri	Oh Honey (Extended Mix)	2021	day	Deep House	Glasgow Underground	0.888	0.898	6	-6.949	1	0.0534	0.000451	0.798	0.06	0.669	122.016	400825	7
spotify:track:5jpe3La1qz7jKxTRv85JE9	Angelov	Retrida	2019	day	Melodic House & Techno	Diynamic	0.797	0.832	1	-10.4	1	0.0476	0.00576	0.919	0.101	0.339	123.001	499208	-1
spotify:track:7AB0PkmA2w0xmrvS51m1sU	Anja Schneider	All I See	2017	day	Deep House	Sous Music	0.832	0.677	0	-9.976	1	0.0635	0.000567	0.309	0.0583	0.408	124.003	372497	-1
spotify:track:47ZtIbXcqQt0z3YFmcscDI	Ann Clue	Roadtrip	2016	day	Minimal / Deep Tech	FCKNG SERIOUS	0.576	0.386	7	-12.604	1	0.061	0.0141	0.92	0.102	0.0375	124.994	493440	-1
spotify:track:2gauzJG2UlNCWiBP5ppcNc	ANNA	Cosmovision	2022	day	Melodic House & Techno	Afterlife Records	0.644	0.757	1	-8.204	1	0.0388	0.0677	0.864	0.103	0.0462	128.017	213391	26
spotify:track:7ngSnVL7lrvs2RCcZLQob6	Anriu	The Forgotten (Extended Mix)	2021	day	Melodic House & Techno	Purified Records	0.733	0.495	9	-11.653	0	0.0406	0.107	0.888	0.11	0.109	120.0	359875	31
spotify:track:4Bl14xQWo7Q6jagOcPZ5mI	ANT LaROCK	Alkebulan (David Mayer Remix)	2021	day	Afro House	Exploited Club	0.763	0.598	10	-11.096	0	0.0679	0.0127	0.412	0.124	0.47	123.007	470244	31
spotify:track:4cF15Qxs3y4Qd0sOs0F4nL	ANUQRAM	Get On	2022	day	Progressive House	Anjunabeats	0.595	0.915	0	-7.937	1	0.0356	0.00134	0.929	0.0759	0.0682	121.998	291145	26
spotify:track:5SfcsMI2nJhdZpmwCcNEGf	Anyma	Explore Your Future	2023	day	Melodic House & Techno	Afterlife Records	0.716	0.881	11	-7.027	0	0.0536	0.000561	0.67	0.216	0.293	123.984	220887	-1
spotify:track:1DOuZaf52j4O1zlyQpxSQx	Anyma	Consciousness	2022	day	Melodic House & Techno	Afterlife Records	0.596	0.837	7	-5.983	0	0.0488	0.0775	0.806	0.297	0.0954	125.93	274552	17
spotify:track:1i5XRu1L0x7gIg9UGKqizL	Anyma	Consciousness (Eric Prydz Remix)	2022	day	Melodic House & Techno	Afterlife Records	0.623	0.866	7	-7.145	1	0.051	0.0109	0.785	0.637	0.244	125.967	244130	2
spotify:track:2XmN4sUQdDwnAwCqTpScMw	Anyma	Angel 1	2023	day	Melodic House & Techno	Afterlife Records	0.615	0.884	10	-6.763	0	0.0539	0.00131	0.869	0.0974	0.0474	121.997	346587	34
spotify:track:7r2NGL9AqMs7pB6xwsd3qf	Aparde	Hole	2021	day	Electronica	Ki Records	0.595	0.573	3	-13.895	0	0.0388	0.176	0.825	0.0992	0.315	121.012	313400	19
spotify:track:7drvQb5iHZCqoMuj3NPOJI	Argy (UK)	The Funky Sound (T78 Remix)	2018	day	Techno (Peak Time / Driving)	iTechno	0.642	0.962	7	-5.406	1	0.0546	0.000406	0.89	0.75	0.248	126.0	312381	2
spotify:track:4YUM6w6KqQLEwxi3ShRA8T	Arm In Arm	Hunger For Your Vibe (Moonwalk Remix)	2019	day	Melodic House & Techno	Blaufield Music	0.791	0.872	1	-9.775	1	0.0465	3.01e-05	0.895	0.0912	0.0418	122.997	392625	-1
spotify:track:5WEYk2b7fdg0hl42Ts3f4I	Armand Van Helden	I Want Your Soul	2007	day	House	Southern Fried Records	0.754	0.876	10	-5.427	0	0.0696	0.00451	0.0988	0.155	0.671	127.967	399547	10
