uri	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms
spotify:track:5e0cpLRbShZxK2w3LOR5Zb	0.606	0.867	10	-8.57	0	0.0559	0.000156	0.834	0.0847	0.033	131.985	363880
spotify:track:72uP5kgHIp7cwfnUNcFfPk	0.792	0.573	7	-12.719	1	0.0575	0.0448	0.939	0.11	0.0321	127.984	421525
spotify:track:1yQRAi2Wk8BniBuB27f1bf	0.686	0.78	1	-11.425	1	0.0413	0.122	0.869	0.107	0.206	128.012	375000
spotify:track:2IM2utL5oxwpN3kli1CiA9	0.731	0.872	1	-9.46	1	0.0692	0.0867	0.91	0.111	0.0368	130.992	429707
spotify:track:16AWPFcIfmbrYvl4hjOVHD	0.744	0.593	11	-11.791	1	0.0466	0.16	0.888	0.0616	0.0694	125.996	433218
spotify:track:4E3A7qJWoSZWBGqTKw6iFC	0.741	0.885	4	-8.703	0	0.0423	0.043	0.891	0.055	0.134	122.006	472623
spotify:track:4K7597R5TJY28eIzoepPKo	0.523	0.674	3	-10.349	0	0.0343	0.0121	0.936	0.0987	0.231	125.985	240240
spotify:track:7mJ8wKA9aexlL8ZLxqwPEO	0.8	0.703	9	-8.153	0	0.0455	0.00354	0.372	0.0497	0.411	119.008	523029
spotify:track:4nDmJSokE9MZ81UjCcWSNI	0.768	0.881	10	-8.086	0	0.0583	0.000507	0.86	0.623	0.138	120.998	397929
spotify:track:6KMdMe54uoAcCdffmvyiic	0.692	0.917	10	-5.022	0	0.0775	0.215	3.49e-06	0.181	0.658	128.992	240227
spotify:track:77vCn7iUHH8KAOqdOe1XjY	0.759	0.712	10	-5.859	0	0.053	0.365	0.0	0.0989	0.652	119.439	242960
spotify:track:43POhFEaOMcV8SOkgtLWne	0.92	0.642	2	-11.023	1	0.152	0.00658	0.377	0.114	0.179	128.001	410781
spotify:track:2ySk8ecOEBzNckGLKA6TEZ	0.691	0.714	0	-9.67	1	0.0345	0.0378	0.832	0.0937	0.277	125.981	255375
spotify:track:6pjHndin2nCDh5L57BJhUY	0.522	0.734	7	-9.367	1	0.0325	0.00193	0.68	0.398	0.0721	121.983	260123
spotify:track:3j953XKbVdcHUhwPeUVXmT	0.613	0.584	5	-15.232	0	0.0375	0.532	0.945	0.11	0.0392	121.993	268142
spotify:track:6jHwozb4zx4hIPnqpkAk0H	0.632	0.811	11	-11.253	1	0.0435	0.0114	0.893	0.151	0.0934	122.007	195743
spotify:track:7GG91wxtHKBS1Y2Yy0Qpxp	0.326	0.637	8	-11.773	1	0.0414	0.0661	0.909	0.0822	0.127	122.005	347485
spotify:track:7fhqnqIPiR0tvM0d3uj6tu	0.636	0.794	5	-9.08	1	0.039	0.0615	0.906	0.116	0.298	121.999	442894
spotify:track:3HqrQJO8bxiEq6GFgPWYwE	0.62	0.667	6	-10.825	0	0.0425	0.421	0.948	0.0991	0.185	121.991	210733
spotify:track:0DAb8uXdSsQpuhfbOUWVOg	0.729	0.679	7	-11.341	1	0.0401	0.0143	0.803	0.112	0.18	124.011	267097
spotify:track:716aUQxrISYyDXJc5Bvh46	0.799	0.628	2	-10.33	1	0.061	0.189	0.938	0.0968	0.0342	124.987	460912
spotify:track:1aZWxYL6hdaUQoO5QDKprV	0.776	0.757	6	-3.479	0	0.0498	0.00128	0.0482	0.567	0.33	124.01	412742
spotify:track:0GhMImCJ8bJ1oKDZOhUedJ	0.598	0.541	7	-11.495	1	0.0437	0.157	0.146	0.126	0.0422	128.001	480000
spotify:track:7aAv7FzsUEw7Zg3R7clpgT	0.74	0.758	2	-8.559	1	0.0435	0.00274	0.513	0.101	0.0324	125.001	557280
spotify:track:7EfeT6AP81defdjrBCQ3Ri	0.619	0.803	1	-8.557	0	0.0583	0.00249	0.789	0.059	0.226	120.993	285952
spotify:track:2EqVkvGSpRHGO9s2jRphYG	0.419	0.959	0	-1.379	0	0.0395	0.00238	0.00757	0.0861	0.334	174.027	225254
